epoch,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc_roc,elapsed_sec
1,0.137166,0.8436,0.8147,0.7956,0.8050,0.9246,71.0
2,0.021702,0.8821,0.8100,0.9271,0.8646,0.9539,66.8
3,0.018305,0.8980,0.8184,0.9622,0.8845,0.9612,69.3
4,0.016211,0.8916,0.8097,0.9583,0.8778,0.9620,65.9
5,0.013995,0.8911,0.8818,0.8451,0.8630,0.9694,67.9
6,0.012934,0.8975,0.8806,0.8646,0.8725,0.9676,66.0
7,0.012853,0.9033,0.8726,0.8919,0.8822,0.9719,67.0
8,0.012303,0.9038,0.8522,0.9232,0.8862,0.9717,67.1
9,0.011371,0.8990,0.8713,0.8815,0.8764,0.9719,66.0
10,0.010791,0.9054,0.8780,0.8906,0.8843,0.9751,67.8
11,0.010502,0.9059,0.8792,0.8906,0.8849,0.9730,66.2
12,0.012759,0.8959,0.8732,0.8698,0.8715,0.9683,67.3
13,0.017546,0.8742,0.9373,0.7396,0.8268,0.9690,65.6
14,0.058661,0.8790,0.8657,0.8307,0.8478,0.9495,66.1
15,0.022644,0.8108,0.9289,0.5781,0.7127,0.9425,66.8
16,0.029545,0.8879,0.8492,0.8802,0.8645,0.9602,65.4
17,0.020164,0.8980,0.8301,0.9414,0.8822,0.9621,66.0
18,0.017737,0.8927,0.8094,0.9622,0.8792,0.9669,66.6
19,0.014907,0.8980,0.8719,0.8776,0.8748,0.9683,65.1
20,0.022065,0.8858,0.7924,0.9740,0.8738,0.9580,67.4
21,0.018202,0.8985,0.8655,0.8880,0.8766,0.9691,65.4
22,0.022065,0.8943,0.8034,0.9792,0.8826,0.9710,65.7
23,0.021350,0.9006,0.8634,0.8971,0.8799,0.9714,67.4
24,0.013793,0.9027,0.8802,0.8802,0.8802,0.9721,65.0
25,0.012640,0.9091,0.8556,0.9336,0.8929,0.9741,67.8
